bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_095,41.178649,-0.453139,A-1406,Endesa,300,Congested
FRIC_096,40.974023,-0.434787,A-1407,Endesa,300,Congested
FRIC_097,41.016691,-0.205312,A-1408,Endesa,300,Congested
FRIC_098,41.044759,-0.130757,A-1409,Endesa,300,Congested
FRIC_099,40.967581,-0.015019,A-1410,Endesa,300,Congested
FRIC_100,41.129629,0.129904,A-1411,Endesa,300,Congested
FRIC_101,41.001299,0.120387,A-1412,Endesa,300,Congested
FRIC_102,40.888424,0.200926,A-1413,Endesa,300,Congested
FRIC_103,41.103053,-0.316207,A-1415,Endesa,300,Congested
FRIC_104,40.845443,-0.550339,A-1416,Endesa,300,Congested
FRIC_105,42.938964,-1.824946,A-15,i-DE,300,Congested
FRIC_106,43.031631,-1.931037,A-15,i-DE,300,Congested
FRIC_107,43.238894,-2.00237,A-15,i-DE,300,Congested
FRIC_108,41.403347,-2.479257,A-15,i-DE,300,Congested
FRIC_109,41.415558,-2.487262,A-15,i-DE,300,Congested
FRIC_110,41.878375,-1.887303,A-15,Endesa,300,Congested
FRIC_111,43.116854,-1.964046,A-15-141,i-DE,300,Congested
FRIC_112,43.201756,-2.037739,A-15-156,i-DE,300,Congested
FRIC_113,43.225636,-2.023227,A-15-159,i-DE,300,Congested
FRIC_114,43.231104,-2.006112,A-15-160,i-DE,300,Congested
FRIC_115,43.244464,-1.998201,A-15-162,i-DE,300,Congested
FRIC_116,43.257386,-1.988122,A-15-164,i-DE,300,Congested
FRIC_117,43.266155,-1.965024,A-15-166,i-DE,300,Congested
FRIC_118,43.268893,-1.956913,A-15-167,i-DE,300,Congested
FRIC_119,41.582926,-1.951366,A-1502,Endesa,300,Congested
FRIC_120,41.413099,-1.506952,A-1503,Endesa,300,Congested
FRIC_121,41.341385,-1.226018,A-1504,Endesa,300,Congested
FRIC_122,41.287652,-0.732179,A-1506,Endesa,300,Congested
